,record,m,n,d,b,f,w,s,u_bits,c_bits,overhead_bits,bpm,bps,overhead,cr,pss,snr,prd,nmse,rtime,qc_snr,qc_prd,qc_nmse,min_qc_snr,max_qc_snr,min_q,max_q,min_rng,max_rng
34,214,320,800,4,25,13,812,649600,7145600,1519480,952,5.847752463054187,2.339100985221675,0.0006265301287282491,4.702661436807329,78.73544558889387,24.00574112788452,6.305404372818951,0.003975812430476387,779.8010713999756,29.250703006713007,3.447187050706893,0.0011883098562561285,27.493260073194705,32.82304692996378,4,5,3,4
35,215,320,800,4,25,13,812,649600,7145600,1504312,952,5.789378078817734,2.3157512315270936,0.0006328474412222997,4.750078441174437,78.94771607702643,17.347737083921828,13.571040476354131,0.018417313961084147,801.2913590000317,30.455799492824067,3.0006132685256017,0.0009003679987251895,27.771411881319857,31.856994580743113,4,5,3,5
36,217,320,800,4,25,13,812,649600,7145600,1550616,952,5.967580049261084,2.3870320197044337,0.0006139495529518591,4.608233115097484,78.29970891177788,23.538503698283645,6.653877714172183,0.0044274088635157085,789.0639971999917,30.067988603681066,3.1376216268315757,0.0009844669473161223,28.96672802865462,32.64759194356766,5,5,4,7
37,219,320,800,4,25,13,812,649600,7145600,1437656,952,5.532850985221675,2.21314039408867,0.0006621890076624729,4.970312786925384,79.88054187192118,25.12282423373293,5.54445404655278,0.0030740970674334365,786.6157931999114,31.067412519045885,2.796593694096103,0.0007820936289858087,30.014273521532395,32.2565986988999,6,6,3,4
38,220,320,800,4,25,13,812,649600,7145600,1207384,952,4.646644088669951,1.8586576354679802,0.0007884815435685748,5.918249703491184,83.10311240483654,23.097288971188988,7.000604638868939,0.004900846530975339,796.3050360999878,29.6266550291009,3.3011651262660013,0.0010897691190874827,28.704012667553414,30.554324695671223,6,6,2,4
39,221,320,800,4,25,13,812,649600,7145600,1535000,952,5.907481527093596,2.3629926108374386,0.0006201954397394136,4.655114006514658,78.51824899238693,22.66717592704135,7.355991244541447,0.005411060718976884,762.3052428999872,31.163231685614964,2.765912364287086,0.0007650271206916178,27.193446487939987,33.176399109891534,4,5,3,5
40,222,320,800,4,25,13,812,649600,7145600,1475704,952,5.679279556650246,2.2717118226600985,0.0006451158226853081,4.842163469096784,79.34807433945365,19.817480981611364,10.212356120720374,0.010429221753641072,751.7049122999233,30.92707343027795,2.842145638578905,0.000807779183089309,28.447940603224534,33.49401589055332,4,5,3,5
41,223,320,800,4,25,13,812,649600,7145600,1250200,952,4.811422413793103,1.9245689655172413,0.000761478163493841,5.715565509518477,82.50391849529781,23.784401001194542,6.4681480200372325,0.004183693880911048,755.5469721999834,29.36135473989588,3.4035510030974723,0.0011584159430685808,28.42724092641016,30.22648490870218,6,6,3,6
42,228,320,800,4,25,13,812,649600,7145600,1552568,952,5.97509236453202,2.390036945812808,0.0006131776514780673,4.602439313447141,78.27239140170175,20.891435240123197,9.024605742563253,0.00814435088087092,767.9924651999718,30.465942614778008,2.99711128731023,0.0008982676068522385,28.03209490211303,31.785690058922942,4,5,3,7
43,230,320,800,4,25,13,812,649600,7145600,1456600,952,5.605757389162561,2.2423029556650245,0.0006535768227378827,4.905670740079637,79.61542767577251,21.37516818480155,8.53574811370092,0.007285899586054668,748.0123654000272,29.064497293284372,3.521884711928732,0.0012403671924117326,27.466732748770468,33.56278864888038,4,5,4,6
44,231,320,800,4,25,13,812,649600,7145600,1487512,952,5.724722906403941,2.2898891625615763,0.0006399948370164409,4.803725953135168,79.18282579489475,21.790101453337833,8.137573558362272,0.006622010341775864,767.5900958001439,29.814150077462106,3.230669235917853,0.0010437223711906047,27.50158035257963,32.83452245881508,4,5,3,4
45,232,320,800,4,25,13,812,649600,7145600,1464120,952,5.634698275862069,2.2538793103448276,0.0006502199273283611,4.880474278064639,79.5101880877743,20.24218702597996,9.725023259335936,0.009457607739462342,776.688558000038,30.8530133051386,2.8664827640849633,0.0008216723436796172,28.068188370468,33.24612317653537,4,5,3,4
46,233,320,800,4,25,13,812,649600,7145600,1554904,952,5.984082512315271,2.3936330049261083,0.0006122564479864995,4.595524868416314,78.23969995521719,21.76907818539281,8.157293541242423,0.00665414379179945,776.9550410000156,29.783151715268353,3.2422195056685372,0.0010511987322937533,28.758437355578646,32.3427585003191,4,5,4,6
47,234,320,800,4,25,13,812,649600,7145600,1530552,952,5.890363300492611,2.356145320197044,0.0006219978151673384,4.668642424432492,78.58049708911778,22.1277387747421,7.827319496411173,0.006126693049889967,786.5271949000453,30.01808510367506,3.155700254221463,0.0009958444094493406,27.347069988166055,33.15049842180138,4,5,4,7
